,AverageTradePrice,BuyQuantity,Close,Exchange,ExchangeType,High,LastQuantity,LastTradeTime,LastTradedPrice,Low,NetChange,Open,OpenInterest,Scripcode,SellQuantity,TotalBuyQuantity,TotalSellQuantity,Volume,Name,FullName
74,59.19,25362,57.6,N,C,60.2,200,/Date(1695637157000)/,59.0,57.65,1.4,58,0,817,0,25362,0,7882722,DCW,DCW LTD
75,621.21,29,624.25,N,C,629.8,296,/Date(1695637656000)/,617.6,615.55,-6.64999999999998,626,0,827,0,29,0,186412,DEEPAKFERT,DEEPAK FERTILIZERS & PETR
76,315.95,2676,301.45,N,C,325.75,1,/Date(1695637273000)/,315.25,299.75,13.8,302.85,0,857,0,2676,0,2111677,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.
77,5469.1,56,5517.05,N,C,5539.9,2,/Date(1695637732000)/,5438.75,5428,-78.3000000000002,5529.85,0,881,0,56,0,243409,DRREDDY,DR. REDDY S LABORATORIES
78,3397.25,47,3409.45,N,C,3429.9,3,/Date(1695637605000)/,3386.65,3381.05,-22.7999999999997,3417.85,0,910,0,47,0,309695,EICHERMOT,EICHER MOTORS LTD
79,85.31,897,84.95,N,C,86.1,125,/Date(1695637615000)/,85.5,84.2,0.549999999999997,85.7,0,913,0,897,0,11317237,EQUITASBNK,EQUITAS SMALL FIN BNK LTD
80,541.98,0,534.55,N,C,552,1,/Date(1695637616000)/,533.7,530.2,-0.849999999999909,537.9,0,916,33,0,33,979241,EIDPARRY,EID PARRY INDIA LTD
81,229.52,1415,233.35,N,C,235.5,125,/Date(1695636811000)/,227.6,226.75,-5.75,234.7,0,919,0,1415,0,1083066,EIHOTEL,EIH LIMITED
82,64.02,0,62.35,N,C,65.65,250,/Date(1695636960000)/,65.25,61.75,2.9,62.4,0,928,3243,0,3243,3055741,ELECTCAST,ELECTROSTEEL CASTINGS LTD
83,506.81,365,509.55,N,C,512.55,15,/Date(1695637420000)/,506.5,502.45,-3.05000000000001,511.65,0,937,0,365,0,128575,ELGIEQUIP,ELGI EQUIPMENTS LTD
84,4919.22,3,4862.8,N,C,4977,1,/Date(1695636608000)/,4959.8,4850.05,97,4859.9,0,940,0,3,0,6153,PGHL,PROCTER & GAMBLE HEALTH L
85,5022.41,0,4995.55,N,C,5070.6,4,/Date(1695635997000)/,5046.4,4972.05,50.8499999999995,4972.05,0,955,0,0,0,2499,ESABINDIA,ESAB INDIA LTD
86,3184.21,659,3126.55,N,C,3256.95,5,/Date(1695637197000)/,3235.05,3105.35,108.5,3148,0,958,0,659,0,605035,ESCORTS,ESCORTS KUBOTA LIMITED
87,32.82,182546,33.05,N,C,33.35,6000,/Date(1695637506000)/,32.55,32.3,-0.5,33.35,0,967,0,182546,0,3334800,SUBEXLTD,SUBEX LTD
88,189.79,0,192.45,N,C,194.5,50,/Date(1695637263000)/,188.9,188.15,-3.54999999999998,194.5,0,981,613,0,613,501984,EPL,EPL LIMITED
89,1087.62,0,1091,N,C,1107.95,24,/Date(1695635997000)/,1092.85,1077.65,1.84999999999991,1089.95,0,993,4,0,4,7086,EVERESTIND,EVEREST INDUSTRIES LTD
90,538.05,0,537.9,N,C,544.8,25,/Date(1695637707000)/,537.8,531.2,-0.100000000000023,540.1,0,1008,2993,0,2993,962412,FACT,FACT LTD
91,3084.32,0,3119.95,N,C,3135.95,4,/Date(1695636629000)/,3081.0,3060.05,-38.9499999999998,3134.65,0,1011,93,0,93,82706,SCHAEFFLER,SCHAEFFLER INDIA LIMITED
92,146.32,4928,145.95,N,C,147.8,2600,/Date(1695637669000)/,147.1,144.15,1.15000000000001,145.9,0,1023,0,4928,0,14333389,FEDERALBNK,FEDERAL BANK LTD
93,1098.61,0,1085.4,N,C,1113.65,10,/Date(1695637008000)/,1102.05,1083.35,16.6499999999999,1083.35,0,1038,592,0,592,184964,FINCABLES,FINOLEX CABLES LTD
94,220.4,244,221.3,N,C,224.85,1,/Date(1695637796000)/,221.0,216.6,-0.300000000000011,222.05,0,1041,0,244,0,422322,FINPIPE,FINOLEX INDUSTRIES LTD
95,442.01,0,439.5,N,C,446.55,25,/Date(1695636838000)/,444.15,434.9,4.64999999999998,438.5,0,1053,75,0,75,75358,UFLEX,UFLEX LIMITED
96,532.09,495,516.95,N,C,541,3,/Date(1695637735000)/,530.3,515,13.3499999999999,515,0,1076,0,495,0,1700673,ZENSARTECH,ZENSAR TECHNOLOGIES  LTD
97,314.82,962,312.95,N,C,319.4,2,/Date(1695637137000)/,315.15,313.3,2.19999999999999,319.2,0,1085,0,962,0,188399,GABRIEL,GABRIEL INDIA LTD
98,3176.14,0,3194.55,N,C,3220.05,22,/Date(1695635999000)/,3160.4,3142.05,-34.1500000000001,3200,0,1100,15,0,15,13676,GARFIBRES,GARWARE TECH FIBRES LTD
99,138.01,346,138.95,N,C,139.3,554,/Date(1695636933000)/,137.1,136.5,-1.84999999999999,138.65,0,1145,0,346,0,708108,GIPCL,GUJ IND POW CO. LTD
